scenario,lane,folds,trades,total_net,mean_net,hit_rate,trade_tstat,max_drawdown,average_duration,selection_rate
regime_switching,catboost_barrier,2,3033,889.9705024321099,0.29342911389123305,0.66864490603363,10.57040438706024,35.29453650189106,3.1823277283217934,0.3402101817902172
regime_switching,catboost_huber,2,2955,913.7722331914456,0.3092291821290848,0.6737732656514382,11.010779923267144,32.21941385581977,3.1150592216582065,0.3314567173962454
regime_switching,catboost_point,2,3032,891.1166619375155,0.2939039122485209,0.6688654353562006,10.585395236949351,35.29453650189106,3.1856860158311346,0.3400984263342056
regime_switching,catboost_quantile,2,3028,895.0764822442621,0.29559989506085277,0.6697490092470277,10.661921502637977,32.21941385581977,3.178665785997358,0.339650297273036
regime_switching,lightgbm_barrier,2,2744,846.1736036518497,0.3083723045378461,0.6731049562682215,10.64121080230779,35.294536501891,3.2099125364431487,0.3077525824292742
regime_switching,lightgbm_huber,2,2934,912.7137569640929,0.3110817167566779,0.6748466257668712,11.007797502603648,34.56335359875163,3.113156100886162,0.3290973964023651
regime_switching,lightgbm_point,2,3010,901.8472674810794,0.29961703238574067,0.6704318936877076,10.75895970607677,32.21941385581977,3.1737541528239204,0.3376295643585604
regime_switching,lightgbm_quantile,2,2739,861.69418906448,0.31460174847188027,0.674333698430084,10.713955005377658,32.21941385581977,3.0938298649142024,0.3071940819584971
regime_switching,rolling_z,2,3033,889.4356140732233,0.29325275768981973,0.66864490603363,10.561341150869302,35.29453650189106,3.183646554566436,0.34021045859949806
stationary_ou,catboost_barrier,2,2009,796.9053250593522,0.39666765806836846,0.710801393728223,13.848634667608648,13.860462744361314,3.241911398705824,0.22981670581149505
stationary_ou,catboost_huber,2,2390,954.3479985870192,0.3993087860196733,0.707531380753138,14.507869363622122,15.472510116951185,3.0527196652719666,0.27282022223603214
stationary_ou,catboost_point,2,2390,945.3095869409838,0.3955270238246794,0.7071129707112971,14.392416897484233,16.882937286531273,3.0326359832635985,0.2728003141162986
stationary_ou,catboost_quantile,2,2433,941.4414794234899,0.38694676507336206,0.7028360049321825,14.255267996140883,14.685959817962612,3.0801479654747226,0.27773981789457347
stationary_ou,lightgbm_barrier,2,2559,984.3351295547013,0.38465616629726507,0.7010550996483002,14.641396967019285,18.4728803422787,3.1535756154747947,0.2925313166434067
stationary_ou,lightgbm_huber,2,2384,999.309380072466,0.4191733976814035,0.7126677852348994,15.272265026212933,13.34468937280576,3.0314597315436242,0.2721424093123991
stationary_ou,lightgbm_point,2,2664,1039.7564695419471,0.3902989750532835,0.7015765765765766,14.912588993525992,16.257811055126467,3.066066066066066,0.3043886187803781
stationary_ou,lightgbm_quantile,2,2047,880.2820564845781,0.4300352010183576,0.7210552027357108,14.917256022002327,13.040594125288067,3.1465559355153885,0.23402767650226675
stationary_ou,rolling_z,2,2939,1116.2982595720118,0.3798224768873807,0.7009186798230691,15.21756844107757,16.58297191655015,3.036066689350119,0.33546610451341274
